id,codeset_group,display,language,version,code,date_created,created_by,date_modified,modified_by,archived,active
1,GENDER,Male,en,1,912016f2-dca1-45b2-a613-b0b3edc414db,,,,,0,
2,GENDER,Transgender(male to female),en,1,34792968-e3df-4954-bd97-2f60d8fc1393,,,,,0,
3,GENDER,Transgender(Female to male),en,1,3ffeb50c-dc25-4d58-8b81-93a9fe55963d,,,,,0,
4,GENDER,Female,en,1,a2e19199-b704-485f-98c3-e6471dab9b45,,,,,0,
5,MARITAL_STATUS,Single,en,1,1e4ba9bf-a6de-4e93-9705-a7ddf1080d69,,Alexander Alozie,,Alexander Alozie,0,
6,MARITAL_STATUS,Married,en,1,d395c107-6c9c-4678-90f1-4e063cc6c933,,,,,0,
7,MARITAL_STATUS,Widowed,en,1,8bb9719a-06cb-4e6c-9d46-2841d01c8de9,,,,,0,
8,MARITAL_STATUS,Separated,en,1,840395f2-0941-4782-a455-1a42f2729943,,,,,0,
9,MARITAL_STATUS,Divorced,en,1,9f178b98-c894-4f2e-9ed6-89c67e13d1a1,,,,,0,
10,EDUCATION,None,en,1,202bbc4e-539a-41a7-9549-edb0be5fce4b,,,,,0,
11,EDUCATION,Senior Secondary,en,1,b0da8f6b-5a2c-4c2d-b295-b12a92f33278,,,,,0,
12,EDUCATION,Quranic,en,1,e83f442b-de07-4a49-b567-306232f75f97,,,,,0,
13,EDUCATION,Junior Secondary,en,1,87f2bbb0-0f87-475b-9023-1ed897764fb8,,,,,0,
14,EDUCATION,Post Secondary,en,1,7ea3c298-4e75-4d1e-8b99-b11e5315f884,,,,,0,
15,POINT_ENTRY,OPD,en,1,1b269b6c-9b6c-49c3-be8a-9797b9ea9385,,,,,0,
16,POINT_ENTRY,In-patient,en,1,058ce7fb-2698-4345-8f54-37e015ab6d98,,,,,0,
17,POINT_ENTRY,HCT,en,1,faea8f87-8e28-466d-ad8e-5002bbfd6284,,,,,0,
18,POINT_ENTRY,TB DOTS,en,1,7e0eadd3-ea37-40d7-bd46-acec44f087f8,,,,,0,
19,POINT_ENTRY,STI Clinic,en,1,7a9d09bd-b797-4682-bfc4-a03219de6f6f,,,,,0,
20,POINT_ENTRY,PMTCT,en,1,f8c1b989-b7c5-4342-9da7-515640dfa830,,,,,0,
21,POINT_ENTRY,Transfer-in,en,1,fa253f32-a8b6-4230-97a4-1ab12cd618cd,,,,,0,
22,POINT_ENTRY,Outreach,en,1,4b959d38-49d9-4a23-8ab8-a066c7b475e8,,,,,0,
23,POINT_ENTRY,CBO,en,1,833b95ab-0450-4001-a4a5-302386120675,,,,,0,
24,POINT_ENTRY,Others,en,1,81ce2047-8bdd-439a-b530-8cf9b1717d66,,,,,0,
25,TIME_HIV_DIAGNOSIS,Previous - Non pregnant,en,1,437d99ca-c721-4dee-837d-60a9a468d8b2,,,,,0,
26,TIME_HIV_DIAGNOSIS,Previous pregnancy (ANC),en,1,85f8bf74-7133-46a4-9faf-f3aa3ae638ae,,,,,0,
27,TIME_HIV_DIAGNOSIS,Previous pregnancy (L&AMP;D),en,1,9d06a24a-0411-4570-9b72-a49dca2bc774,,,,,0,
28,TIME_HIV_DIAGNOSIS,Previous pregnancy (PP &lt;72hrs),en,1,8778195a-ed95-412c-a38b-5a745e3daf7e,,,,,0,
29,TIME_HIV_DIAGNOSIS,ANC,en,1,57148559-b95f-4b41-961e-684436722402,,,,,0,
30,TIME_HIV_DIAGNOSIS,Labour,en,1,ba4da009-3310-4ed6-8582-3dc8e86cc4c4,,,,,0,
31,TIME_HIV_DIAGNOSIS,Post Partum &lt;=72hrs,en,1,5075048c-179a-44b1-9cd7-31af3c0149c4,,,,,0,
32,TIME_HIV_DIAGNOSIS,Post Partum &gt;72hrs,en,1,6dccae4c-232a-4149-9c9a-802787824168,,,,,0,
33,SOURCE_REFERRAL_PMTCT,PMTCT Outreach,en,1,eab671a7-592e-482d-9143-b7db368848cc,,,,,0,
34,SOURCE_REFERRAL_PMTCT,Sex Worker Outreach,en,1,a3f8aecb-1b78-450d-b8be-9a10ca777d5e,,,,,0,
35,SOURCE_REFERRAL_PMTCT,Medical Outpatient,en,1,c4e9a865-acdd-4338-afcb-786544789cf3,,,,,0,
36,SOURCE_REFERRAL_PMTCT,Youth/Adolescent Outreach,en,1,41984f29-6e78-4b6c-89c1-47d33d436caa,,,,,0,
37,SOURCE_REFERRAL_PMTCT,Private/Commercial Health Facility,en,1,f0afeea9-93d0-432b-b36e-e29505c1d290,,,,,0,
38,SOURCE_REFERRAL_PMTCT,Under-fives/Immunization Clinic,en,1,014c3c1e-65b3-442e-b1f3-f382ec7a8715,,,,,0,
39,SOURCE_REFERRAL_PMTCT,External HCT Centre,en,1,9e2ca14c-ff1a-4641-bc1d-3e1610514a97,,,,,0,
40,SOURCE_REFERRAL_PMTCT,CBO,en,1,760b0c44-4021-4dfd-86b2-157449df1229,,,,,0,
41,SOURCE_REFERRAL_PMTCT,In-patients,en,1,5b95d6af-ed7f-443b-9244-1732555d3751,,,,,0,
42,SOURCE_REFERRAL_PMTCT,Self-referral,en,1,ee12ee28-46f7-4d1d-9502-222c34365e1c,,,,,0,
43,SOURCE_REFERRAL,Self,en,1,6ac9dbaa-ac5d-44b6-a1d5-06f40dec166f,,,,,0,
44,SOURCE_REFERRAL,TB,en,1,a7503d13-3f85-4601-aba8-8750d9fe138c,,,,,0,
45,SOURCE_REFERRAL,STI,en,1,98bf443a-db72-4470-a9cd-5da96ec9df60,,,,,0,
46,SOURCE_REFERRAL,FP,en,1,a815ebf3-1b7b-43d5-8cdb-881a9c22d49a,,,,,0,
47,SOURCE_REFERRAL,OPD,en,1,95674508-3e17-4a8b-882f-d060b41645b2,,,,,0,
48,SOURCE_REFERRAL,Ward,en,1,a7f0c8ea-9b43-4823-bd51-c83436bb0d4e,,,,,0,
49,SOURCE_REFERRAL,Blood Bank,en,1,9f9417a5-739a-40e0-9c5c-8cccf8eaa506,,,,,0,
50,SOURCE_REFERRAL,Others,en,1,4f69a1a0-3126-45b4-a003-00710a72a0b3,,,,,0,
51,ENROLLMENT_SETTING,Facility,en,1,10bd3b23-cf32-482b-9184-3a09bf34ed4f,,,,,0,
52,ENROLLMENT_SETTING,Community,en,1,fbeba6e1-e20e-4299-b17d-5614cb425449,,,,,0,
53,HIV_STATUS_ENROL,HIV Exposed Status Unknown,en,1,b9909d8e-23bf-4bf4-9a33-7eb933a991a1,,,33:52.6,guest@lamisplus.org,1,
54,HIV_STATUS_ENROL,HIV+ non ART,en,1,61907d76-da2a-48df-8eeb-adfceadabd61,,,,,0,
55,HIV_STATUS_ENROL,ART Transfer In,en,1,a04088ea-ce3a-4942-ae26-b3eb009f398c,,,,,0,
56,HIV_STATUS_ENROL,Pre-ART Transfer In,en,1,db1d2322-9409-47cd-9ff1-dad67f7afd78,,,,,0,
57,HIV_STATUS,ART Restart,en,1,b5368fa5-5c89-43bc-9b7b-aa927a8e1755,,,,,0,
58,HIV_STATUS,ART Transfer Out,en,1,73cdd703-47b9-470d-8e61-11eabde237f9,,,,,0,
59,HIV_STATUS,Pre-ART Transfer Out,en,1,9872444a-8cc8-435e-a960-4c043ea5a275,,,,,0,
60,HIV_STATUS,Lost to Follow Up,en,1,e69c44fb-f011-4bb0-8262-88e13f08c5d4,,,,,0,
61,HIV_STATUS,Stopped Treatment,en,1,50d64b2a-6604-4978-876f-47a18dc5e9f6,,,,,0,
62,HIV_STATUS,Died (Confirmed),en,1,7e8d0627-7670-40b6-baad-53bc944c1e57,,,,,0,
63,HIV_STATUS,Previously Undocumented Patient Transfer (Confirmed),en,1,38595f25-1513-40a3-ba25-bd7202999201,,,,,0,
